,Items,Support,Confidence,Lift
0,Attire_casual,0.38275,0.38275,1.0
1,Attire_formal,0.29425,0.29425,1.0
2,Attire_traditional,0.26875,0.26875,1.0
3,Basket_Size_big,0.54925,0.54925,1.0
4,Basket_Size_small,0.3995,0.3995,1.0
5,Gender_female,0.48275,0.48275,1.0
6,Gender_male,0.473,0.473,1.0
7,Wash_Item_blankets,0.41525,0.41525,1.0
8,Wash_Item_clothes,0.5395,0.5395,1.0
9,With_Kids_no,0.52725,0.52725,1.0
10,With_Kids_yes,0.42625,0.42625,1.0
11,shirt_type_long sleeve,0.42725,0.42725,1.0
12,shirt_type_short_sleeve,0.5265,0.5265,1.0
13,Attire_casual -> Basket_Size_big,0.2275,0.2275,1.0
14,Attire_casual -> Basket_Size_small,0.12975,0.12975,1.0
15,Gender_female -> Attire_casual,0.1745,0.1745,1.0
16,Gender_male -> Attire_casual,0.18625,0.18625,1.0
17,Wash_Item_blankets -> Attire_casual,0.141,0.141,1.0
18,Wash_Item_clothes -> Attire_casual,0.2195,0.2195,1.0
19,Attire_casual -> With_Kids_no,0.219,0.219,1.0
20,With_Kids_yes -> Attire_casual,0.14425,0.14425,1.0
21,Attire_casual -> shirt_type_long sleeve,0.134,0.134,1.0
22,Attire_casual -> shirt_type_short_sleeve,0.22675,0.22675,1.0
23,Attire_formal -> Basket_Size_big,0.15725,0.15725,1.0
24,Attire_formal -> Basket_Size_small,0.12675,0.12675,1.0
25,Attire_formal -> Gender_female,0.147,0.147,1.0
26,Gender_male -> Attire_formal,0.13925,0.13925,1.0
27,Wash_Item_blankets -> Attire_formal,0.134,0.134,1.0
28,Wash_Item_clothes -> Attire_formal,0.152,0.152,1.0
29,Attire_formal -> With_Kids_no,0.14825,0.14825,1.0
30,Attire_formal -> With_Kids_yes,0.135,0.135,1.0
31,Attire_formal -> shirt_type_long sleeve,0.14125,0.14125,1.0
32,Attire_formal -> shirt_type_short_sleeve,0.144,0.144,1.0
33,Attire_traditional -> Basket_Size_big,0.12975,0.12975,1.0
34,Attire_traditional -> Basket_Size_small,0.12925,0.12925,1.0
35,Gender_female -> Attire_traditional,0.13825,0.13825,1.0
36,Gender_male -> Attire_traditional,0.12225,0.12225,1.0
37,Wash_Item_blankets -> Attire_traditional,0.12375,0.12375,1.0
38,Wash_Item_clothes -> Attire_traditional,0.13425,0.13425,1.0
39,With_Kids_no -> Attire_traditional,0.129,0.129,1.0
40,With_Kids_yes -> Attire_traditional,0.13,0.13,1.0
41,Attire_traditional -> shirt_type_long sleeve,0.13525,0.13525,1.0
42,shirt_type_short_sleeve -> Attire_traditional,0.12575,0.12575,1.0
43,Gender_female -> Basket_Size_big,0.26475,0.26475,1.0
44,Gender_male -> Basket_Size_big,0.2575,0.2575,1.0
45,Wash_Item_blankets -> Basket_Size_big,0.2175,0.2175,1.0
46,Wash_Item_clothes -> Basket_Size_big,0.305,0.305,1.0
47,With_Kids_no -> Basket_Size_big,0.301,0.301,1.0
48,With_Kids_yes -> Basket_Size_big,0.21725,0.21725,1.0
49,shirt_type_long sleeve -> Basket_Size_big,0.2225,0.2225,1.0
50,shirt_type_short_sleeve -> Basket_Size_big,0.29525,0.29525,1.0
51,Gender_female -> Basket_Size_small,0.19425,0.19425,1.0
52,Gender_male -> Basket_Size_small,0.1925,0.1925,1.0
53,Wash_Item_blankets -> Basket_Size_small,0.17975,0.17975,1.0
54,Wash_Item_clothes -> Basket_Size_small,0.2055,0.2055,1.0
55,With_Kids_no -> Basket_Size_small,0.1975,0.1975,1.0
56,With_Kids_yes -> Basket_Size_small,0.18925,0.18925,1.0
57,shirt_type_long sleeve -> Basket_Size_small,0.1885,0.1885,1.0
58,shirt_type_short_sleeve -> Basket_Size_small,0.2005,0.2005,1.0
59,Wash_Item_blankets -> Gender_female,0.2045,0.2045,1.0
60,Wash_Item_clothes -> Gender_female,0.25875,0.25875,1.0
61,Gender_female -> With_Kids_no,0.252,0.252,1.0
62,With_Kids_yes -> Gender_female,0.21075,0.21075,1.0
63,Gender_female -> shirt_type_long sleeve,0.218,0.218,1.0
64,Gender_female -> shirt_type_short_sleeve,0.24425,0.24425,1.0
65,Gender_male -> Wash_Item_blankets,0.19775,0.19775,1.0
66,Gender_male -> Wash_Item_clothes,0.2535,0.2535,1.0
67,Gender_male -> With_Kids_no,0.25025,0.25025,1.0
68,Gender_male -> With_Kids_yes,0.20025,0.20025,1.0
69,Gender_male -> shirt_type_long sleeve,0.19675,0.19675,1.0
70,Gender_male -> shirt_type_short_sleeve,0.256,0.256,1.0
71,Wash_Item_blankets -> With_Kids_no,0.207,0.207,1.0
72,Wash_Item_blankets -> With_Kids_yes,0.19325,0.19325,1.0
73,Wash_Item_blankets -> shirt_type_long sleeve,0.1945,0.1945,1.0
74,Wash_Item_blankets -> shirt_type_short_sleeve,0.20475,0.20475,1.0
75,Wash_Item_clothes -> With_Kids_no,0.2915,0.2915,1.0
76,Wash_Item_clothes -> With_Kids_yes,0.219,0.219,1.0
77,Wash_Item_clothes -> shirt_type_long sleeve,0.21825,0.21825,1.0
78,Wash_Item_clothes -> shirt_type_short_sleeve,0.297,0.297,1.0
79,With_Kids_no -> shirt_type_long sleeve,0.214,0.214,1.0
80,shirt_type_short_sleeve -> With_Kids_no,0.289,0.289,1.0
81,With_Kids_yes -> shirt_type_long sleeve,0.1945,0.1945,1.0
82,With_Kids_yes -> shirt_type_short_sleeve,0.21575,0.21575,1.0
83,Gender_female -> Attire_casual,0.102,0.102,1.0
84,Gender_male -> Attire_casual,0.11,0.11,1.0
85,Wash_Item_clothes -> Attire_casual,0.13425,0.13425,1.0
86,Attire_casual -> With_Kids_no,0.137,0.137,1.0
87,shirt_type_short_sleeve -> Attire_casual,0.1425,0.1425,1.0
88,Gender_male -> Wash_Item_clothes,0.109,0.109,1.0
89,Gender_male -> Attire_casual,0.10775,0.10775,1.0
90,Gender_male -> Attire_casual,0.11325,0.11325,1.0
91,Wash_Item_clothes -> Attire_casual,0.13075,0.13075,1.0
92,Wash_Item_clothes -> Attire_casual,0.1345,0.1345,1.0
93,Attire_casual -> With_Kids_no,0.13375,0.13375,1.0
94,Wash_Item_blankets -> Gender_female,0.1065,0.1065,1.0
95,Wash_Item_clothes -> Gender_female,0.14775,0.14775,1.0
96,Gender_female -> With_Kids_no,0.14275,0.14275,1.0
97,With_Kids_yes -> Gender_female,0.10825,0.10825,1.0
98,shirt_type_long sleeve -> Gender_female,0.116,0.116,1.0
99,Gender_female -> shirt_type_short_sleeve,0.136,0.136,1.0
100,Gender_male -> Wash_Item_blankets,0.1035,0.1035,1.0
101,Gender_male -> Wash_Item_clothes,0.14,0.14,1.0
102,Gender_male -> With_Kids_no,0.14325,0.14325,1.0
103,Gender_male -> With_Kids_yes,0.10025,0.10025,1.0
104,Gender_male -> shirt_type_long sleeve,0.101,0.101,1.0
105,Gender_male -> shirt_type_short_sleeve,0.14175,0.14175,1.0
